body,title,url
"
	TEL AVIV – Mucho antes de que personas y bienes atravesaran el globo sin escalas, las pandemias ya eran un aspecto inevitable de la civilización. Y las tragedias que provocan suelen tener un lado positivo: vistos como acontecimientos misteriosos, metahistóricos, los brotes contagiosos masivos a menudo han sacudido viejas creencias y costumbres, preanunciando grandes cambios en la marcha de los asuntos humanos. Pero es posible que la Covid-19 no encaje en este patrón.","
          Por qué esta pandemia es diferente        ",https://www.lostiempos.com/actualidad/opinion/20200422/columna/que-esta-pandemia-es-diferente
"
	Centro de Investigación y Desarrollo Regional, Institucion Financiera de Desarrollo (CIDRE IFD).","
          Nacional Seguros Vida y Salud S.A. - CIDRE IFD        ",https://www.lostiempos.com/mostrador/mostrador/20200419/nacional-seguros-vida-salud-sa-cidre-ifd
,,https://www.lostiempos.com/organizacion/organizacion-mundial-salud
"
	Diferentes medios y políticos venezolanos reportaron saqueos y disturbios en varios lugares de Venezuela, entre ellos Bolívar, Monagas y Barinas. Además, de varios heridos y al menos un muerto.","
          Reportan saqueos y disturbios en Venezuela ante la escasez de alimentos y gasolina        ",https://www.lostiempos.com/actualidad/mundo/20200423/reportan-saqueos-disturbios-venezuela-escasez-alimentos-gasolina
"
	El director del Servicio Departamental de Salud (Sedes) de Chuquisaca, Martín Maturano, informó hoy que se confirmó el segundo caso positivo de Covid-19. Se trata de un hombre de 43 años, que que estuvo en Villa Tunari y Santa Cruz entre el 1 y el 4 de abril. ","
          Chuquisaca confirma su segundo caso positivo, tras casi un mes de silencio epidemiológico        ",https://www.lostiempos.com/actualidad/pais/20200423/chuquisaca-confirma-su-segundo-caso-positivo-casi-mes-silencio
"
	COCHABAMBA |","
          Cochabamba registra a un niño de 6 años con coronavirus         ",https://www.lostiempos.com/actualidad/pais/20200423/cochabamba-registra-nino-6-anos-coronavirus
"
	El presidente del Colegio de Abogados de Cochabamba, Omar Arandia, informó hoy que el pago de asistencia familiar no tiene flexibilización en el periodo de cuarentena e, incluso, se tiene habilitada la plataforma para el pago de la misma en el juzgado correspondiente. ","
          Habilitan plataforma para el pago de asistencia familiar         ",https://www.lostiempos.com/actualidad/cochabamba/20200422/habilitan-plataforma-pago-asistencia-familiar
"
	La medicina tradicional, pese a que no es una práctica totalmente aceptada por la población, es reconocida por la contribución a la salud humana “en particular como proveedores de atención primaria de salud al nivel de la comunidad”, por la Organización Mundial de la Salud.","
          Tradicional y científica, la fusión de la medicina que convive en una clínica de Cliza        ",https://www.lostiempos.com/entrevistas/20191017/tradicional-cientifica-fusion-medicina-que-convive-clinica-cliza
"
	El ministro de Salud, Marcelo Navajas, en conferencia de prensa, anunció hoy la apertura de dos laboratorios en Potosí para detectar Covid-19, en medio de las protestas de ayer y esta jornada por la falta de equipos de bioseguridad en hospitales del país.","
          Navajas garantiza dos laboratorios para Potosí y equipamiento ""en la medida de lo posible""        ",https://www.lostiempos.com/actualidad/pais/20200422/navajas-garantiza-dos-laboratorios-potosi-equipamiento-medida-posible
"
	En todas las culturas, el sentido común es el más escaso de los sentidos. Bolivia no es una excepción a este principio. En numerosos casos, las afirmaciones de los participantes bolivianos en las redes sociales carecen del sentido de las proporciones, que es la manifestación ética del sentido común.","
          El sentido de las proporciones        ",https://www.lostiempos.com/actualidad/opinion/20200423/columna/sentido-proporciones
"
	El Ministerio de Deportes compromete que hará efectivo el pago de los honorarios de los árbitros que dirigieron en la Copa Integración, en un máximo de una semana.","
          Ministerio de Deportes promete pago a árbitros        ",https://www.lostiempos.com/deportes/futbol/20200423/ministerio-deportes-promete-pago-arbitros
"
	Los elevados niveles de dióxido de nitrógeno en el aire ""pueden"" estar asociados con un alto número de muertes por Covid-19, según un estudio que analiza datos de varios lugares, entre ellos Madrid, realizado por la Universidad Martín Lutero de Halle-Witternberg (Alemania).","
          Asocian la alta contaminación con un mayor riesgo de mortalidad por Covid-19        ",https://www.lostiempos.com/tendencias/ciencia/20200421/asocian-alta-contaminacion-mayor-riesgo-mortalidad-covid-19
"
	La presidenta, Jeanine Áñez, aseguró hoy que el sistema de salud del país que heredó su Gobierno es débil y que las obras construidas durante la gestión del Movimiento Al Socialismo (MAS), como las canchas de fútbol, no sirvieron para nada.","
          Áñez: Ahora nos damos cuenta que tener canchitas no nos sirve de nada si no hay salud        ",https://www.lostiempos.com/actualidad/pais/20200423/anez-ahora-nos-damos-cuenta-que-tener-canchitas-no-nos-sirve-nada-si-no-hay
"
	Los ganadores del Premio Maya Astro 2019 a la mejor voz femenina de Bolivia y en la categoría masculina lanzan una canción para levantar el ánimo del país en plena pandemia por la Covid-19.","
          Morató y Añez crean canción contra la Covid-19        ",https://www.lostiempos.com/doble-click/cultura/20200423/morato-anez-crean-cancion-contra-covid-19
"
	La Universidad Privada Domingo Savio Sede Cochabamba, tiene un gran compromiso de aporte a la sociedad y cuando ésta lo requiere acuden a su llamado. En esta ocasión lo hace para unirse a la lucha y cuidar de aquellos quienes se constituyen en elemento fundamental para reducir la propagación del COVID-19 en la región; el Centro de Salud “Sarcobamba”. Es por ello que, mediante el Rector Regional, Lic. Marcos Santiváñez Manrique con el apoyo de los directivos, administrativos, docentes y estudiantes preocupados por la coyuntura que actualmente se vive en el país, se realizó la donación de una cámara de desinfección a este importante Centro de Salud  ubicado al Noroeste de la ciudad (Av. Thunupa esq. Av. Villavicencio), la cual será instalada en su ingreso principal, convirtiéndose en la primera barrera de contención contra el virus en el centro hospitalario, donde el personal médico y asistencial, así como pacientes, acompañantes y equipo médico de las ambulancias que llegan a este centro, podrán hacer uso de la cabina, ayudando con ello a la prevención del COVID-19.","
          La UPDS sede Cochabamba dona una cámara de desinfección al Centro de Salud “Sarcobamba”        ",https://www.lostiempos.com/mostrador/mostrador/20200422/upds-sede-cochabamba-dona-camara-desinfeccion-al-centro-salud
"
	La organización conservacionista BirdLife International pidió a la Organización de Naciones Unidas (ONU) que incluya el derecho a un medio ambiente sano en el articulado de la Declaración Universal de los Derechos Humanos.","
          BirdLife pide a la ONU que consagre como derecho un medio ambiente saludable         ",https://www.lostiempos.com/tendencias/medio-ambiente/20200422/birdlife-pide-onu-que-consagre-como-derecho-medio-ambiente
"
	Los reencuentros de la cuarentena me sorprenden cada día. Hacía mucho que no despertaba cuando se abrían mis ojos, sin apuros y correteos, sin el sonido del despertador a las cinco de la mañana.","
          A propósito del tiempo en cuarentena        ",https://www.lostiempos.com/actualidad/opinion/20200423/columna/proposito-del-tiempo-cuarentena
